,x,y,drift_x,drift_y,diffusion_x,diffusion_y,diffusion_xy
35,0.5789455899512408,-0.8947304748352812,-0.048989471961079285,0.04804793258985166,0.002386069719294599,0.0020634711474453254,-0.0012114453098724823
42,-0.7894725596902493,-0.7894676805236256,0.03610916437650155,0.05612949641780451,0.002332713157053027,0.004430063951139227,0.0015960254475937306
43,-0.6842096251024424,-0.7894676805236256,0.02605645267275352,0.048048325394330925,0.004001214718505598,0.006228134423905116,0.0010607114451969687
44,-0.5789466905146354,-0.7894676805236256,0.00850555602298246,0.035942753943034936,0.007202799824549329,0.013722475047745689,0.0009592522594159516
45,-0.47368375592682854,-0.7894676805236256,0.0030808340332234277,0.01725105011950786,0.010498397171965658,0.019980488580106634,-0.0002849640268705748
46,-0.36842082133902165,-0.7894676805236256,0.0018216305293091214,0.01616008802753415,0.012693348357400233,0.023660643107546547,0.0004208065070776648
47,-0.26315788675121465,-0.7894676805236256,-0.0007500071339793207,0.0126969057735322,0.016475993622577026,0.0293331117347946,0.00018714885185157001
48,-0.15789495216340776,-0.7894676805236256,-0.012090588094518276,-0.0051431027669945825,0.01996825515067657,0.02842645346506809,-0.002207520635659786
49,-0.052632017575600876,-0.7894676805236256,-0.02508720677526248,-0.0014388878663948324,0.020801727565022497,0.026227783474996904,-0.004566433705002287
50,0.052630917012206124,-0.7894676805236256,-0.01473691281759884,0.013561804327509187,0.02071398664024065,0.026199820606434734,-0.004694561826609949
51,0.157893851600013,-0.7894676805236256,-0.009196854593869132,0.006261172099663918,0.02003425652456182,0.021779113197965355,-0.004279316699421374
52,0.2631567861878199,-0.7894676805236256,-0.00544851585337719,0.006365396447129693,0.019551525842945127,0.01795509111004904,-0.004345595692470562
53,0.3684197207756268,-0.7894676805236256,-0.005212638869770148,0.011619757105634516,0.016891026285887338,0.01325091591241294,-0.0034244593917195166
54,0.4736826553634339,-0.7894676805236256,-0.027386448179016778,0.019224274483360018,0.012390147869243116,0.007426206712364391,-0.0014371077799155219
55,0.5789455899512408,-0.7894676805236256,-0.039108679039460026,0.03709479597189083,0.00688285196688176,0.0040104887900522775,-0.0008754314753116292
56,0.6842085245390477,-0.7894676805236256,-0.04805143203071097,0.024094613916195787,0.002882675031976826,0.001874326871528542,-0.0007767253011326973
61,-0.8947354942780563,-0.6842048862119701,0.027678442293846355,0.0449923072104094,0.0020119159695328294,0.0031687269227549677,0.0013844211331574667
62,-0.7894725596902493,-0.6842048862119701,0.030764758958436795,0.038005959342364046,0.003805004611705034,0.005693043666390263,0.0013683766348639098
63,-0.6842096251024424,-0.6842048862119701,0.009804510531840444,0.030953200830206435,0.00813053467929975,0.014049169426342384,0.002721958759382834
64,-0.5789466905146354,-0.6842048862119701,0.012614224187558951,0.000658149176573591,0.012339229495373609,0.022868619271161173,0.0028563116097310446
65,-0.47368375592682854,-0.6842048862119701,-0.004577348143094964,0.0016484601837144955,0.016092940251597066,0.02542851462073234,0.0009931941041862024
66,-0.36842082133902165,-0.6842048862119701,-0.014598775758239825,0.0028478282782761813,0.020636405451841824,0.02939480059389034,0.0026161103734246016
67,-0.26315788675121465,-0.6842048862119701,-0.015437235507069397,0.032396768220172074,0.023200948621620247,0.03638194112638867,0.0020076133455185622
68,-0.15789495216340776,-0.6842048862119701,0.013602150045434686,-0.001605018284047041,0.02615052248832126,0.034255223989135615,-0.001512459272006072
69,-0.052632017575600876,-0.6842048862119701,-0.03150619957544032,0.004081912563661629,0.024544111453942773,0.03569299464747649,-0.002613602419668009
70,0.052630917012206124,-0.6842048862119701,0.015093310524880636,-0.008980165246916668,0.029227036846496867,0.037694127269217954,-0.006850964404340585
71,0.157893851600013,-0.6842048862119701,-0.02493061333784833,-0.007529008533771022,0.030061204978288642,0.02811629504635363,-0.006771666539083346
72,0.2631567861878199,-0.6842048862119701,0.005522744924945637,-0.02298349506474909,0.024757796713670628,0.023896743924906528,-0.005078141069652162
73,0.3684197207756268,-0.6842048862119701,0.004728393590510876,-0.012544514420112117,0.02398464300240927,0.018610762418090718,-0.003603565434069792
74,0.4736826553634339,-0.6842048862119701,0.004394999311106055,0.011879168355582314,0.021504386592721005,0.01285386266180831,-0.0023263529858863615
75,0.5789455899512408,-0.6842048862119701,-0.025437605129382434,0.010098946119353578,0.014088064191602285,0.008197554376597424,-0.000965335754448628
76,0.6842085245390477,-0.6842048862119701,-0.03955170153384997,0.02254573987635471,0.0061415171737376215,0.0034094126694781245,-9.931948467575045e-06
77,0.7894714591268546,-0.6842048862119701,-0.059864480321455533,0.022584378171234314,,,
81,-0.8947354942780563,-0.5789420919003145,0.04025037015344942,0.03615897533716507,0.003425302951566104,0.004659318628578778,0.00109111776418398
82,-0.7894725596902493,-0.5789420919003145,0.021600245838392294,0.02233559820106131,0.008204205215014143,0.01237081425913029,0.0023097275069174053
83,-0.6842096251024424,-0.5789420919003145,0.010258348645754218,0.015011862705319894,0.013342612843492072,0.02251886096578878,0.003973961813395156
84,-0.5789466905146354,-0.5789420919003145,-0.008566699243854902,-0.006068120656311244,0.01842544560547151,0.03142290611517661,0.0036673918774005176
85,-0.47368375592682854,-0.5789420919003145,-0.003843100664462026,0.015521227352329747,0.02183925525261842,0.0336577064421876,0.00023791868662583613
86,-0.36842082133902165,-0.5789420919003145,-0.0005700808763769291,-0.017568260677546577,0.027991186168714686,0.03657785937667267,0.0032192018591325616
87,-0.26315788675121465,-0.5789420919003145,-0.02679789818073222,0.010585406248433744,0.02679853040407333,0.04813666476742538,0.0010414198341969325
88,-0.15789495216340776,-0.5789420919003145,0.00382302295973085,-0.02090980197089168,0.032856721214618294,0.045294029719385065,-0.005082277390599585
89,-0.052632017575600876,-0.5789420919003145,-0.0015619994724205112,0.004641759442508327,0.033626156936662696,0.03782481676529501,-0.0030333808734748636
90,0.052630917012206124,-0.5789420919003145,-0.015547829649100219,-0.013836817554045264,0.03432280676642609,0.03611275387308683,-0.0047173499335742535
91,0.157893851600013,-0.5789420919003145,-0.011293533339980776,-0.010983568849951247,0.032967737074776605,0.033438163002764,-0.004043009036405086
92,0.2631567861878199,-0.5789420919003145,-0.005846655256836171,-0.012136011390830582,0.033671297388689896,0.031009060105656187,-0.0048796916878990045
93,0.3684197207756268,-0.5789420919003145,-0.0027046059871094867,0.007395322846897484,0.0314447900670811,0.024567667411528632,-0.004768167299954869
94,0.4736826553634339,-0.5789420919003145,-0.012295830768944457,-0.002922760148220986,0.02585629761274435,0.019132931087071443,-0.0031880742363738853
95,0.5789455899512408,-0.5789420919003145,-0.021215113957055075,0.003677284339880111,0.02242238723531073,0.013466020711434486,-0.0014097931798563862
96,0.6842085245390477,-0.5789420919003145,-0.03624800986896704,0.014393695070767255,0.01314890908501725,0.006630928191002764,-0.00111743027035798
97,0.7894714591268546,-0.5789420919003145,-0.05004212702958208,0.015506246943296085,0.004741810219736473,0.002608350729511362,-0.0002614773404655842
